n,size,block_type,rt,acc,answer,changed_element,matrix_1,matrix_2
5,"[3, 3]",experiment,1.2212798595428467,1,images/images/3_27.png,images/images/3_27.png,"['images/images/3_2.png', 'images/images/3_1.png', 'images/images/3_16.png', 'images/images/3_3.png', 'images/images/3_10.png']","['images/images/3_2.png', 'images/images/3_27.png', 'images/images/3_16.png', 'images/images/3_3.png', 'images/images/3_10.png']"
3,"[3, 3]",experiment,1.1561172008514404,1,images/images/3_26.png,images/images/3_26.png,"['images/images/3_2.png', 'images/images/3_9.png', 'images/images/3_13.png']","['images/images/3_2.png', 'images/images/3_26.png', 'images/images/3_13.png']"
2,"[3, 3]",experiment,0.8499889373779297,1,images/images/3_14.png,images/images/3_14.png,"['images/images/3_13.png', 'images/images/3_1.png']","['images/images/3_14.png', 'images/images/3_1.png']"
6,"[3, 3]",experiment,1.0349149703979492,0,images/images/3_2.png,images/images/3_13.png,"['images/images/3_1.png', 'images/images/3_16.png', 'images/images/3_9.png', 'images/images/3_27.png', 'images/images/3_2.png', 'images/images/3_10.png']","['images/images/3_1.png', 'images/images/3_16.png', 'images/images/3_13.png', 'images/images/3_27.png', 'images/images/3_2.png', 'images/images/3_10.png']"
6,"[3, 3]",experiment,1.5834619998931885,1,images/images/3_1.png,images/images/3_1.png,"['images/images/3_3.png', 'images/images/3_10.png', 'images/images/3_26.png', 'images/images/3_2.png', 'images/images/3_14.png', 'images/images/3_16.png']","['images/images/3_3.png', 'images/images/3_10.png', 'images/images/3_26.png', 'images/images/3_2.png', 'images/images/3_14.png', 'images/images/3_1.png']"
6,"[3, 3]",experiment,2.583983898162842,0,images/images/3_9.png,images/images/3_3.png,"['images/images/3_9.png', 'images/images/3_16.png', 'images/images/3_27.png', 'images/images/3_10.png', 'images/images/3_14.png', 'images/images/3_13.png']","['images/images/3_9.png', 'images/images/3_16.png', 'images/images/3_27.png', 'images/images/3_10.png', 'images/images/3_14.png', 'images/images/3_3.png']"
2,"[3, 3]",experiment,1.3001899719238281,1,images/images/3_9.png,images/images/3_9.png,"['images/images/3_3.png', 'images/images/3_13.png']","['images/images/3_3.png', 'images/images/3_9.png']"
4,"[3, 3]",experiment,0.959888219833374,1,images/images/3_2.png,images/images/3_2.png,"['images/images/3_1.png', 'images/images/3_9.png', 'images/images/3_16.png', 'images/images/3_13.png']","['images/images/3_1.png', 'images/images/3_2.png', 'images/images/3_16.png', 'images/images/3_13.png']"
3,"[3, 3]",experiment,1.1472878456115723,1,images/images/3_13.png,images/images/3_13.png,"['images/images/3_27.png', 'images/images/3_14.png', 'images/images/3_10.png']","['images/images/3_27.png', 'images/images/3_13.png', 'images/images/3_10.png']"
3,"[3, 3]",experiment,1.2088329792022705,1,images/images/3_9.png,images/images/3_9.png,"['images/images/3_27.png', 'images/images/3_26.png', 'images/images/3_10.png']","['images/images/3_9.png', 'images/images/3_26.png', 'images/images/3_10.png']"
5,"[3, 3]",experiment,1.5557961463928223,0,images/images/3_14.png,images/images/3_1.png,"['images/images/3_9.png', 'images/images/3_14.png', 'images/images/3_10.png', 'images/images/3_13.png', 'images/images/3_16.png']","['images/images/3_9.png', 'images/images/3_14.png', 'images/images/3_10.png', 'images/images/3_13.png', 'images/images/3_1.png']"
2,"[3, 3]",experiment,0.8725600242614746,1,images/images/3_14.png,images/images/3_14.png,"['images/images/3_10.png', 'images/images/3_3.png']","['images/images/3_10.png', 'images/images/3_14.png']"
6,"[3, 3]",experiment,2.5500659942626953,0,images/images/3_16.png,images/images/3_26.png,"['images/images/3_1.png', 'images/images/3_27.png', 'images/images/3_10.png', 'images/images/3_16.png', 'images/images/3_13.png', 'images/images/3_14.png']","['images/images/3_1.png', 'images/images/3_27.png', 'images/images/3_10.png', 'images/images/3_16.png', 'images/images/3_26.png', 'images/images/3_14.png']"
3,"[3, 3]",experiment,1.550002098083496,1,images/images/3_3.png,images/images/3_3.png,"['images/images/3_13.png', 'images/images/3_9.png', 'images/images/3_16.png']","['images/images/3_13.png', 'images/images/3_3.png', 'images/images/3_16.png']"
2,"[3, 3]",experiment,1.905951976776123,1,images/images/3_16.png,images/images/3_16.png,"['images/images/3_14.png', 'images/images/3_3.png']","['images/images/3_14.png', 'images/images/3_16.png']"
4,"[3, 3]",experiment,2.037788152694702,0,images/images/3_13.png,images/images/3_3.png,"['images/images/3_13.png', 'images/images/3_10.png', 'images/images/3_26.png', 'images/images/3_14.png']","['images/images/3_13.png', 'images/images/3_10.png', 'images/images/3_3.png', 'images/images/3_14.png']"
4,"[3, 3]",experiment,0.7561430931091309,1,images/images/3_2.png,images/images/3_2.png,"['images/images/3_1.png', 'images/images/3_26.png', 'images/images/3_16.png', 'images/images/3_9.png']","['images/images/3_1.png', 'images/images/3_2.png', 'images/images/3_16.png', 'images/images/3_9.png']"
4,"[3, 3]",experiment,0.8347530364990234,1,images/images/3_1.png,images/images/3_1.png,"['images/images/3_2.png', 'images/images/3_26.png', 'images/images/3_16.png', 'images/images/3_3.png']","['images/images/3_2.png', 'images/images/3_1.png', 'images/images/3_16.png', 'images/images/3_3.png']"
6,"[3, 3]",experiment,1.2655298709869385,0,images/images/3_16.png,images/images/3_1.png,"['images/images/3_14.png', 'images/images/3_10.png', 'images/images/3_27.png', 'images/images/3_2.png', 'images/images/3_16.png', 'images/images/3_9.png']","['images/images/3_14.png', 'images/images/3_10.png', 'images/images/3_27.png', 'images/images/3_1.png', 'images/images/3_16.png', 'images/images/3_9.png']"
3,"[3, 3]",experiment,1.0642261505126953,1,images/images/3_16.png,images/images/3_16.png,"['images/images/3_1.png', 'images/images/3_14.png', 'images/images/3_3.png']","['images/images/3_1.png', 'images/images/3_16.png', 'images/images/3_3.png']"
3,"[3, 3]",experiment,0.7993350028991699,1,images/images/3_16.png,images/images/3_16.png,"['images/images/3_9.png', 'images/images/3_26.png', 'images/images/3_1.png']","['images/images/3_16.png', 'images/images/3_26.png', 'images/images/3_1.png']"
5,"[3, 3]",experiment,1.3007590770721436,1,images/images/3_14.png,images/images/3_14.png,"['images/images/3_3.png', 'images/images/3_10.png', 'images/images/3_2.png', 'images/images/3_26.png', 'images/images/3_27.png']","['images/images/3_3.png', 'images/images/3_10.png', 'images/images/3_2.png', 'images/images/3_26.png', 'images/images/3_14.png']"
2,"[3, 3]",experiment,1.0729689598083496,1,images/images/3_9.png,images/images/3_9.png,"['images/images/3_1.png', 'images/images/3_13.png']","['images/images/3_1.png', 'images/images/3_9.png']"
2,"[3, 3]",experiment,1.6195931434631348,1,images/images/3_1.png,images/images/3_1.png,"['images/images/3_2.png', 'images/images/3_14.png']","['images/images/3_2.png', 'images/images/3_1.png']"
5,"[3, 3]",experiment,1.214055061340332,1,images/images/3_9.png,images/images/3_9.png,"['images/images/3_26.png', 'images/images/3_14.png', 'images/images/3_2.png', 'images/images/3_1.png', 'images/images/3_27.png']","['images/images/3_26.png', 'images/images/3_9.png', 'images/images/3_2.png', 'images/images/3_1.png', 'images/images/3_27.png']"
2,"[3, 3]",experiment,1.3763189315795898,1,images/images/3_16.png,images/images/3_16.png,"['images/images/3_10.png', 'images/images/3_14.png']","['images/images/3_10.png', 'images/images/3_16.png']"
2,"[3, 3]",experiment,1.0589230060577393,1,images/images/3_1.png,images/images/3_1.png,"['images/images/3_14.png', 'images/images/3_10.png']","['images/images/3_14.png', 'images/images/3_1.png']"
5,"[3, 3]",experiment,1.180635929107666,0,images/images/3_16.png,images/images/3_14.png,"['images/images/3_3.png', 'images/images/3_26.png', 'images/images/3_1.png', 'images/images/3_13.png', 'images/images/3_16.png']","['images/images/3_3.png', 'images/images/3_26.png', 'images/images/3_1.png', 'images/images/3_14.png', 'images/images/3_16.png']"
4,"[3, 3]",experiment,1.3550758361816406,1,images/images/3_27.png,images/images/3_27.png,"['images/images/3_9.png', 'images/images/3_26.png', 'images/images/3_13.png', 'images/images/3_16.png']","['images/images/3_9.png', 'images/images/3_26.png', 'images/images/3_27.png', 'images/images/3_16.png']"
3,"[3, 3]",experiment,1.2879040241241455,1,images/images/3_10.png,images/images/3_10.png,"['images/images/3_2.png', 'images/images/3_27.png', 'images/images/3_14.png']","['images/images/3_2.png', 'images/images/3_27.png', 'images/images/3_10.png']"
