trigger_no,trigger_type,acc,n,block_type
47,matrix_1,1,3,experiment
48,mask,1,3,experiment
49,matrix_2,1,3,experiment
50,answer,1,3,experiment
51,fix_point,1,5,experiment
52,matrix_1,1,5,experiment
53,mask,1,5,experiment
54,matrix_2,1,5,experiment
55,answer,1,5,experiment
56,fix_point,1,4,experiment
57,matrix_1,1,4,experiment
58,mask,1,4,experiment
59,matrix_2,1,4,experiment
60,answer,1,4,experiment
1,fix_point,1,4,experiment
2,matrix_1,1,4,experiment
3,mask,1,4,experiment
4,matrix_2,1,4,experiment
5,answer,1,4,experiment
6,fix_point,0,6,experiment
7,matrix_1,0,6,experiment
8,mask,0,6,experiment
9,matrix_2,0,6,experiment
10,answer,0,6,experiment
11,fix_point,1,5,experiment
12,matrix_1,1,5,experiment
13,mask,1,5,experiment
14,matrix_2,1,5,experiment
15,answer,1,5,experiment
16,fix_point,1,3,experiment
17,matrix_1,1,3,experiment
18,mask,1,3,experiment
19,matrix_2,1,3,experiment
20,answer,1,3,experiment
21,fix_point,1,4,experiment
22,matrix_1,1,4,experiment
23,mask,1,4,experiment
24,matrix_2,1,4,experiment
25,answer,1,4,experiment
26,fix_point,1,4,experiment
27,matrix_1,1,4,experiment
28,mask,1,4,experiment
29,matrix_2,1,4,experiment
30,answer,1,4,experiment
31,fix_point,-1,6,experiment
32,matrix_1,-1,6,experiment
33,mask,-1,6,experiment
34,matrix_2,-1,6,experiment
35,fix_point,1,6,experiment
36,matrix_1,1,6,experiment
37,mask,1,6,experiment
38,matrix_2,1,6,experiment
39,answer,1,6,experiment
40,fix_point,0,3,experiment
41,matrix_1,0,3,experiment
42,mask,0,3,experiment
43,matrix_2,0,3,experiment
44,answer,0,3,experiment
# 0:00:00.000045  | info     | TriggerHandler constructed with params: dummy_mode=False,trigger_time=0.003
# 0:00:00.000098  | info     | Possible triggerTypes registered: ['fix_point', 'matrix_1', 'mask', 'matrix_2', 'answer']
# 0:00:00.000112  | info     | Dummy mode: False
# 0:00:00.000445  | info     | Connected to EEG (in constructor)
# 0:00:00.000475  | info     | Trigger time: 0.003
# 0:00:00.000496  | info     | Params registered: ['trigger_no', 'trigger_type', 'acc', 'n', 'block_type']
# 0:00:00.000514  | info     | Trigger limit set to: 60
# 0:00:38.168232  | info     | Value: 1 sent to EEG.
# 0:00:38.168260  | info     | send_trigger() run with params trigger_type=fix_point, info=None, with_delay=True
# 0:00:38.171613  | info     | Clear message sent to EEG.
# 0:00:39.689197  | info     | Value: 2 sent to EEG.
# 0:00:39.689225  | info     | send_trigger() run with params trigger_type=matrix_1, info=None, with_delay=True
# 0:00:39.692390  | info     | Clear message sent to EEG.
# 0:00:41.709963  | info     | Value: 3 sent to EEG.
# 0:00:41.710018  | info     | send_trigger() run with params trigger_type=mask, info=None, with_delay=True
# 0:00:41.713252  | info     | Clear message sent to EEG.
# 0:00:43.737594  | info     | Value: 4 sent to EEG.
# 0:00:43.737653  | info     | send_trigger() run with params trigger_type=matrix_2, info=None, with_delay=True
# 0:00:43.740809  | info     | Clear message sent to EEG.
# 0:00:44.959626  | info     | Value: 5 sent to EEG.
# 0:00:44.959678  | info     | send_trigger() run with params trigger_type=answer, info=None, with_delay=True
# 0:00:44.963058  | info     | Clear message sent to EEG.
# 0:00:48.543119  | info     | Value: 6 sent to EEG.
# 0:00:48.543136  | info     | send_trigger() run with params trigger_type=fix_point, info=None, with_delay=True
# 0:00:48.546339  | info     | Clear message sent to EEG.
# 0:00:50.064138  | info     | Value: 7 sent to EEG.
# 0:00:50.064177  | info     | send_trigger() run with params trigger_type=matrix_1, info=None, with_delay=True
# 0:00:50.067338  | info     | Clear message sent to EEG.
# 0:00:52.084986  | info     | Value: 8 sent to EEG.
# 0:00:52.085040  | info     | send_trigger() run with params trigger_type=mask, info=None, with_delay=True
# 0:00:52.088423  | info     | Clear message sent to EEG.
# 0:00:54.112761  | info     | Value: 9 sent to EEG.
# 0:00:54.112812  | info     | send_trigger() run with params trigger_type=matrix_2, info=None, with_delay=True
# 0:00:54.116188  | info     | Clear message sent to EEG.
# 0:00:56.291639  | info     | Value: 10 sent to EEG.
# 0:00:56.291684  | info     | send_trigger() run with params trigger_type=answer, info=None, with_delay=True
# 0:00:56.295064  | info     | Clear message sent to EEG.
# 0:00:59.547694  | info     | Value: 11 sent to EEG.
# 0:00:59.547711  | info     | send_trigger() run with params trigger_type=fix_point, info=None, with_delay=True
# 0:00:59.550900  | info     | Clear message sent to EEG.
# 0:01:01.070988  | info     | Value: 12 sent to EEG.
# 0:01:01.071015  | info     | send_trigger() run with params trigger_type=matrix_1, info=None, with_delay=True
# 0:01:01.074181  | info     | Clear message sent to EEG.
# 0:01:03.091853  | info     | Value: 13 sent to EEG.
# 0:01:03.091910  | info     | send_trigger() run with params trigger_type=mask, info=None, with_delay=True
# 0:01:03.095094  | info     | Clear message sent to EEG.
# 0:01:05.117422  | info     | Value: 14 sent to EEG.
# 0:01:05.117473  | info     | send_trigger() run with params trigger_type=matrix_2, info=None, with_delay=True
# 0:01:05.120658  | info     | Clear message sent to EEG.
# 0:01:05.780104  | info     | Value: 15 sent to EEG.
# 0:01:05.780155  | info     | send_trigger() run with params trigger_type=answer, info=None, with_delay=True
# 0:01:05.783519  | info     | Clear message sent to EEG.
# 0:01:09.168022  | info     | Value: 16 sent to EEG.
# 0:01:09.168040  | info     | send_trigger() run with params trigger_type=fix_point, info=None, with_delay=True
# 0:01:09.171394  | info     | Clear message sent to EEG.
# 0:01:10.688999  | info     | Value: 17 sent to EEG.
# 0:01:10.689027  | info     | send_trigger() run with params trigger_type=matrix_1, info=None, with_delay=True
# 0:01:10.692382  | info     | Clear message sent to EEG.
# 0:01:12.709770  | info     | Value: 18 sent to EEG.
# 0:01:12.709830  | info     | send_trigger() run with params trigger_type=mask, info=None, with_delay=True
# 0:01:12.713015  | info     | Clear message sent to EEG.
# 0:01:14.735170  | info     | Value: 19 sent to EEG.
# 0:01:14.735229  | info     | send_trigger() run with params trigger_type=matrix_2, info=None, with_delay=True
# 0:01:14.738595  | info     | Clear message sent to EEG.
# 0:01:15.842448  | info     | Value: 20 sent to EEG.
# 0:01:15.842497  | info     | send_trigger() run with params trigger_type=answer, info=None, with_delay=True
# 0:01:15.845732  | info     | Clear message sent to EEG.
# 0:01:19.765150  | info     | Value: 21 sent to EEG.
# 0:01:19.765167  | info     | send_trigger() run with params trigger_type=fix_point, info=None, with_delay=True
# 0:01:19.768448  | info     | Clear message sent to EEG.
# 0:01:21.286084  | info     | Value: 22 sent to EEG.
# 0:01:21.286109  | info     | send_trigger() run with params trigger_type=matrix_1, info=None, with_delay=True
# 0:01:21.289273  | info     | Clear message sent to EEG.
# 0:01:23.307000  | info     | Value: 23 sent to EEG.
# 0:01:23.307052  | info     | send_trigger() run with params trigger_type=mask, info=None, with_delay=True
# 0:01:23.310218  | info     | Clear message sent to EEG.
# 0:01:25.334724  | info     | Value: 24 sent to EEG.
# 0:01:25.334777  | info     | send_trigger() run with params trigger_type=matrix_2, info=None, with_delay=True
# 0:01:25.338001  | info     | Clear message sent to EEG.
# 0:01:26.655723  | info     | Value: 25 sent to EEG.
# 0:01:26.655754  | info     | send_trigger() run with params trigger_type=answer, info=None, with_delay=True
# 0:01:26.658964  | info     | Clear message sent to EEG.
# 0:01:30.908643  | info     | Value: 26 sent to EEG.
# 0:01:30.908660  | info     | send_trigger() run with params trigger_type=fix_point, info=None, with_delay=True
# 0:01:30.911867  | info     | Clear message sent to EEG.
# 0:01:32.438990  | info     | Value: 27 sent to EEG.
# 0:01:32.439034  | info     | send_trigger() run with params trigger_type=matrix_1, info=None, with_delay=True
# 0:01:32.442265  | info     | Clear message sent to EEG.
# 0:01:34.459656  | info     | Value: 28 sent to EEG.
# 0:01:34.459705  | info     | send_trigger() run with params trigger_type=mask, info=None, with_delay=True
# 0:01:34.462888  | info     | Clear message sent to EEG.
# 0:01:36.487241  | info     | Value: 29 sent to EEG.
# 0:01:36.487299  | info     | send_trigger() run with params trigger_type=matrix_2, info=None, with_delay=True
# 0:01:36.490672  | info     | Clear message sent to EEG.
# 0:01:37.966944  | info     | Value: 30 sent to EEG.
# 0:01:37.966970  | info     | send_trigger() run with params trigger_type=answer, info=None, with_delay=True
# 0:01:37.970132  | info     | Clear message sent to EEG.
# 0:01:56.320468  | info     | Value: 31 sent to EEG.
# 0:01:56.320485  | info     | send_trigger() run with params trigger_type=fix_point, info=None, with_delay=True
# 0:01:56.323833  | info     | Clear message sent to EEG.
# 0:01:57.841271  | info     | Value: 32 sent to EEG.
# 0:01:57.841304  | info     | send_trigger() run with params trigger_type=matrix_1, info=None, with_delay=True
# 0:01:57.844641  | info     | Clear message sent to EEG.
# 0:01:59.862221  | info     | Value: 33 sent to EEG.
# 0:01:59.862257  | info     | send_trigger() run with params trigger_type=mask, info=None, with_delay=True
# 0:01:59.865469  | info     | Clear message sent to EEG.
# 0:02:01.889950  | info     | Value: 34 sent to EEG.
# 0:02:01.890011  | info     | send_trigger() run with params trigger_type=matrix_2, info=None, with_delay=True
# 0:02:01.893206  | info     | Clear message sent to EEG.
# 0:02:03.078126  | info     | Value: 35 sent to EEG.
# 0:02:03.078168  | info     | send_trigger() run with params trigger_type=answer, info=None, with_delay=True
# 0:02:03.081382  | info     | Clear message sent to EEG.
# 0:02:04.945258  | info     | Value: 36 sent to EEG.
# 0:02:04.945275  | info     | send_trigger() run with params trigger_type=fix_point, info=None, with_delay=True
# 0:02:04.948586  | info     | Clear message sent to EEG.
# 0:02:06.470645  | info     | Value: 37 sent to EEG.
# 0:02:06.470657  | info     | send_trigger() run with params trigger_type=matrix_1, info=None, with_delay=True
# 0:02:06.473838  | info     | Clear message sent to EEG.
# 0:02:08.494175  | info     | Value: 38 sent to EEG.
# 0:02:08.494235  | info     | send_trigger() run with params trigger_type=mask, info=None, with_delay=True
# 0:02:08.497469  | info     | Clear message sent to EEG.
# 0:02:10.521949  | info     | Value: 39 sent to EEG.
# 0:02:10.522008  | info     | send_trigger() run with params trigger_type=matrix_2, info=None, with_delay=True
# 0:02:10.525204  | info     | Clear message sent to EEG.
# 0:02:11.647888  | info     | Value: 40 sent to EEG.
