trigger_no,trigger_type,acc,n,block_type
# 0:03:13.959196  | info     | send_trigger() run with params trigger_type=matrix_1, info=None, with_delay=True
# 0:03:13.962410  | info     | Clear message sent to EEG.
# 0:03:15.979900  | info     | Value: 18 sent to EEG.
# 0:03:15.979955  | info     | send_trigger() run with params trigger_type=mask, info=None, with_delay=True
# 0:03:15.983135  | info     | Clear message sent to EEG.
# 0:03:18.007686  | info     | Value: 19 sent to EEG.
# 0:03:18.007737  | info     | send_trigger() run with params trigger_type=matrix_2, info=None, with_delay=True
# 0:03:18.010925  | info     | Clear message sent to EEG.
# 0:03:19.672420  | info     | Value: 20 sent to EEG.
# 0:03:19.672451  | info     | send_trigger() run with params trigger_type=answer, info=None, with_delay=True
# 0:03:19.675617  | info     | Clear message sent to EEG.
# 0:03:21.236424  | info     | Value: 21 sent to EEG.
# 0:03:21.236451  | info     | send_trigger() run with params trigger_type=fix_point, info=None, with_delay=True
# 0:03:21.239639  | info     | Clear message sent to EEG.
# 0:03:22.757540  | info     | Value: 22 sent to EEG.
# 0:03:22.757577  | info     | send_trigger() run with params trigger_type=matrix_1, info=None, with_delay=True
# 0:03:22.760947  | info     | Clear message sent to EEG.
# 0:03:24.778419  | info     | Value: 23 sent to EEG.
# 0:03:24.778478  | info     | send_trigger() run with params trigger_type=mask, info=None, with_delay=True
# 0:03:24.781708  | info     | Clear message sent to EEG.
# 0:03:26.803907  | info     | Value: 24 sent to EEG.
# 0:03:26.803967  | info     | send_trigger() run with params trigger_type=matrix_2, info=None, with_delay=True
# 0:03:26.807150  | info     | Clear message sent to EEG.
# 0:03:27.731150  | info     | Value: 25 sent to EEG.
# 0:03:27.731189  | info     | send_trigger() run with params trigger_type=answer, info=None, with_delay=True
# 0:03:27.734407  | info     | Clear message sent to EEG.
# 0:03:28.799083  | info     | Value: 26 sent to EEG.
# 0:03:28.799100  | info     | send_trigger() run with params trigger_type=fix_point, info=None, with_delay=True
# 0:03:28.802318  | info     | Clear message sent to EEG.
# 0:03:30.320029  | info     | Value: 27 sent to EEG.
# 0:03:30.320054  | info     | send_trigger() run with params trigger_type=matrix_1, info=None, with_delay=True
# 0:03:30.323189  | info     | Clear message sent to EEG.
# 0:03:32.340953  | info     | Value: 28 sent to EEG.
# 0:03:32.341012  | info     | send_trigger() run with params trigger_type=mask, info=None, with_delay=True
# 0:03:32.344400  | info     | Clear message sent to EEG.
# 0:03:34.366252  | info     | Value: 29 sent to EEG.
# 0:03:34.366308  | info     | send_trigger() run with params trigger_type=matrix_2, info=None, with_delay=True
# 0:03:34.369542  | info     | Clear message sent to EEG.
# 0:03:35.485164  | info     | Value: 30 sent to EEG.
# 0:03:35.485207  | info     | send_trigger() run with params trigger_type=answer, info=None, with_delay=True
# 0:03:35.488389  | info     | Clear message sent to EEG.
# 0:03:37.081277  | info     | Value: 31 sent to EEG.
# 0:03:37.081295  | info     | send_trigger() run with params trigger_type=fix_point, info=None, with_delay=True
# 0:03:37.084587  | info     | Clear message sent to EEG.
# 0:03:38.604422  | info     | Value: 32 sent to EEG.
# 0:03:38.604456  | info     | send_trigger() run with params trigger_type=matrix_1, info=None, with_delay=True
# 0:03:38.607799  | info     | Clear message sent to EEG.
# 0:03:40.625413  | info     | Value: 33 sent to EEG.
# 0:03:40.625471  | info     | send_trigger() run with params trigger_type=mask, info=None, with_delay=True
# 0:03:40.628843  | info     | Clear message sent to EEG.
# 0:03:42.653375  | info     | Value: 34 sent to EEG.
# 0:03:42.653424  | info     | send_trigger() run with params trigger_type=matrix_2, info=None, with_delay=True
# 0:03:42.656614  | info     | Clear message sent to EEG.
# 0:03:44.037004  | info     | Value: 35 sent to EEG.
# 0:03:44.037046  | info     | send_trigger() run with params trigger_type=answer, info=None, with_delay=True
# 0:03:44.040210  | info     | Clear message sent to EEG.
# 0:03:46.442436  | info     | Value: 36 sent to EEG.
# 0:03:46.442459  | info     | send_trigger() run with params trigger_type=fix_point, info=None, with_delay=True
# 0:03:46.445662  | info     | Clear message sent to EEG.
# 0:03:47.965683  | info     | Value: 37 sent to EEG.
# 0:03:47.965711  | info     | send_trigger() run with params trigger_type=matrix_1, info=None, with_delay=True
# 0:03:47.968989  | info     | Clear message sent to EEG.
# 0:03:49.986620  | info     | Value: 38 sent to EEG.
# 0:03:49.986679  | info     | send_trigger() run with params trigger_type=mask, info=None, with_delay=True
# 0:03:49.989892  | info     | Clear message sent to EEG.
# 0:03:52.014372  | info     | Value: 39 sent to EEG.
# 0:03:52.014430  | info     | send_trigger() run with params trigger_type=matrix_2, info=None, with_delay=True
# 0:03:52.017666  | info     | Clear message sent to EEG.
# 0:03:53.479015  | info     | Value: 40 sent to EEG.
# 0:03:53.479065  | info     | send_trigger() run with params trigger_type=answer, info=None, with_delay=True
# 0:03:53.482228  | info     | Clear message sent to EEG.
# 0:03:55.187793  | info     | Value: 41 sent to EEG.
# 0:03:55.187810  | info     | send_trigger() run with params trigger_type=fix_point, info=None, with_delay=True
# 0:03:55.191000  | info     | Clear message sent to EEG.
# 0:03:56.708801  | info     | Value: 42 sent to EEG.
# 0:03:56.708838  | info     | send_trigger() run with params trigger_type=matrix_1, info=None, with_delay=True
# 0:03:56.711999  | info     | Clear message sent to EEG.
# 0:03:58.729560  | info     | Value: 43 sent to EEG.
# 0:03:58.729620  | info     | send_trigger() run with params trigger_type=mask, info=None, with_delay=True
# 0:03:58.733048  | info     | Clear message sent to EEG.
# 0:04:00.755059  | info     | Value: 44 sent to EEG.
# 0:04:00.755109  | info     | send_trigger() run with params trigger_type=matrix_2, info=None, with_delay=True
# 0:04:00.758357  | info     | Clear message sent to EEG.
# 0:04:02.172459  | info     | Value: 45 sent to EEG.
# 0:04:02.172507  | info     | send_trigger() run with params trigger_type=answer, info=None, with_delay=True
# 0:04:02.175692  | info     | Clear message sent to EEG.
# 0:04:04.340549  | info     | Value: 46 sent to EEG.
# 0:04:04.340577  | info     | send_trigger() run with params trigger_type=fix_point, info=None, with_delay=True
# 0:04:04.343752  | info     | Clear message sent to EEG.
# 0:04:05.861388  | info     | Value: 47 sent to EEG.
# 0:04:05.861416  | info     | send_trigger() run with params trigger_type=matrix_1, info=None, with_delay=True
# 0:04:05.864785  | info     | Clear message sent to EEG.
# 0:04:07.882270  | info     | Value: 48 sent to EEG.
# 0:04:07.882329  | info     | send_trigger() run with params trigger_type=mask, info=None, with_delay=True
# 0:04:07.885563  | info     | Clear message sent to EEG.
# 0:04:09.907796  | info     | Value: 49 sent to EEG.
# 0:04:09.907850  | info     | send_trigger() run with params trigger_type=matrix_2, info=None, with_delay=True
# 0:04:09.911036  | info     | Clear message sent to EEG.
# 0:04:11.398725  | info     | Value: 50 sent to EEG.
# 0:04:11.398769  | info     | send_trigger() run with params trigger_type=answer, info=None, with_delay=True
# 0:04:11.401951  | info     | Clear message sent to EEG.
# 0:04:13.305704  | info     | Value: 51 sent to EEG.
# 0:04:13.305729  | info     | send_trigger() run with params trigger_type=fix_point, info=None, with_delay=True
# 0:04:13.308984  | info     | Clear message sent to EEG.
# 0:04:14.826707  | info     | Value: 52 sent to EEG.
# 0:04:14.826735  | info     | send_trigger() run with params trigger_type=matrix_1, info=None, with_delay=True
# 0:04:14.829910  | info     | Clear message sent to EEG.
# 0:04:16.847592  | info     | Value: 53 sent to EEG.
# 0:04:16.847642  | info     | send_trigger() run with params trigger_type=mask, info=None, with_delay=True
# 0:04:16.850828  | info     | Clear message sent to EEG.
# 0:04:18.875358  | info     | Value: 54 sent to EEG.
# 0:04:18.875409  | info     | send_trigger() run with params trigger_type=matrix_2, info=None, with_delay=True
# 0:04:18.878650  | info     | Clear message sent to EEG.
# 0:04:19.743461  | info     | Value: 55 sent to EEG.
# 0:04:19.743511  | info     | send_trigger() run with params trigger_type=answer, info=None, with_delay=True
# 0:04:19.746882  | info     | Clear message sent to EEG.
# 0:04:21.979284  | info     | Value: 56 sent to EEG.
# 0:04:21.979301  | info     | send_trigger() run with params trigger_type=fix_point, info=None, with_delay=True
# 0:04:21.982511  | info     | Clear message sent to EEG.
# 0:04:23.497768  | info     | Value: 57 sent to EEG.
# 0:04:23.497792  | info     | send_trigger() run with params trigger_type=matrix_1, info=None, with_delay=True
# 0:04:23.500905  | info     | Clear message sent to EEG.
# 0:04:25.521154  | info     | Value: 58 sent to EEG.
# 0:04:25.521203  | info     | send_trigger() run with params trigger_type=mask, info=None, with_delay=True
# 0:04:25.524585  | info     | Clear message sent to EEG.
# 0:04:27.548693  | info     | Value: 59 sent to EEG.
# 0:04:27.548757  | info     | send_trigger() run with params trigger_type=matrix_2, info=None, with_delay=True
# 0:04:27.552149  | info     | Clear message sent to EEG.
# 0:04:28.769927  | info     | Value: 60 sent to EEG.
# 0:04:28.769969  | info     | send_trigger() run with params trigger_type=answer, info=None, with_delay=True
# 0:04:28.773131  | info     | Clear message sent to EEG.
# 0:04:30.076480  | info     | Value: 1 sent to EEG.
# 0:04:30.076506  | info     | send_trigger() run with params trigger_type=fix_point, info=None, with_delay=True
# 0:04:30.079862  | info     | Clear message sent to EEG.
# 0:04:31.597223  | info     | Value: 2 sent to EEG.
# 0:04:31.597248  | info     | send_trigger() run with params trigger_type=matrix_1, info=None, with_delay=True
# 0:04:31.600598  | info     | Clear message sent to EEG.
# 0:04:33.618251  | info     | Value: 3 sent to EEG.
# 0:04:33.618310  | info     | send_trigger() run with params trigger_type=mask, info=None, with_delay=True
# 0:04:33.621529  | info     | Clear message sent to EEG.
# 0:04:35.643765  | info     | Value: 4 sent to EEG.
# 0:04:35.643824  | info     | send_trigger() run with params trigger_type=matrix_2, info=None, with_delay=True
# 0:04:35.647009  | info     | Clear message sent to EEG.
# 0:04:36.799856  | info     | Value: 5 sent to EEG.
# 0:04:36.799898  | info     | send_trigger() run with params trigger_type=answer, info=None, with_delay=True
# 0:04:36.803067  | info     | Clear message sent to EEG.
# 0:04:37.914240  | info     | Value: 6 sent to EEG.
# 0:04:37.914258  | info     | send_trigger() run with params trigger_type=fix_point, info=None, with_delay=True
# 0:04:37.917478  | info     | Clear message sent to EEG.
# 0:04:39.437685  | info     | Value: 7 sent to EEG.
# 0:04:39.437739  | info     | send_trigger() run with params trigger_type=matrix_1, info=None, with_delay=True
# 0:04:39.440885  | info     | Clear message sent to EEG.
# 0:04:41.458511  | info     | Value: 8 sent to EEG.
# 0:04:41.458571  | info     | send_trigger() run with params trigger_type=mask, info=None, with_delay=True
# 0:04:41.461786  | info     | Clear message sent to EEG.
# 0:04:43.483938  | info     | Value: 9 sent to EEG.
# 0:04:43.483989  | info     | send_trigger() run with params trigger_type=matrix_2, info=None, with_delay=True
# 0:04:43.487344  | info     | Clear message sent to EEG.
# 0:04:44.333918  | info     | Value: 10 sent to EEG.
# 0:04:44.333957  | info     | send_trigger() run with params trigger_type=answer, info=None, with_delay=True
# 0:04:44.337160  | info     | Clear message sent to EEG.
# 0:04:46.060172  | info     | Value: 11 sent to EEG.
# 0:04:46.060189  | info     | send_trigger() run with params trigger_type=fix_point, info=None, with_delay=True
# 0:04:46.063325  | info     | Clear message sent to EEG.
# 0:04:47.583370  | info     | Value: 12 sent to EEG.
# 0:04:47.583398  | info     | send_trigger() run with params trigger_type=matrix_1, info=None, with_delay=True
# 0:04:47.586720  | info     | Clear message sent to EEG.
# 0:04:49.604186  | info     | Value: 13 sent to EEG.
# 0:04:49.604216  | info     | send_trigger() run with params trigger_type=mask, info=None, with_delay=True
# 0:04:49.607383  | info     | Clear message sent to EEG.
# 0:04:51.631915  | info     | Value: 14 sent to EEG.
# 0:04:51.631966  | info     | send_trigger() run with params trigger_type=matrix_2, info=None, with_delay=True
# 0:04:51.635336  | info     | Clear message sent to EEG.
# 0:04:52.666798  | info     | Value: 15 sent to EEG.
# 0:04:52.666831  | info     | send_trigger() run with params trigger_type=answer, info=None, with_delay=True
# 0:04:52.669995  | info     | Clear message sent to EEG.
# 0:04:54.611095  | info     | Value: 16 sent to EEG.
# 0:04:54.611126  | info     | send_trigger() run with params trigger_type=fix_point, info=None, with_delay=True
# 0:04:54.614329  | info     | Clear message sent to EEG.
# 0:04:56.131972  | info     | Value: 17 sent to EEG.
# 0:04:56.132005  | info     | send_trigger() run with params trigger_type=matrix_1, info=None, with_delay=True
# 0:04:56.135334  | info     | Clear message sent to EEG.
# 0:04:58.152910  | info     | Value: 18 sent to EEG.
# 0:04:58.152971  | info     | send_trigger() run with params trigger_type=mask, info=None, with_delay=True
# 0:04:58.156351  | info     | Clear message sent to EEG.
# 0:05:00.180653  | info     | Value: 19 sent to EEG.
# 0:05:00.180737  | info     | send_trigger() run with params trigger_type=matrix_2, info=None, with_delay=True
# 0:05:00.184067  | info     | Clear message sent to EEG.
# 0:05:01.764098  | info     | Value: 20 sent to EEG.
# 0:05:01.764131  | info     | send_trigger() run with params trigger_type=answer, info=None, with_delay=True
# 0:05:01.767482  | info     | Clear message sent to EEG.
# 0:05:03.610966  | info     | Value: 21 sent to EEG.
# 0:05:03.610984  | info     | send_trigger() run with params trigger_type=fix_point, info=None, with_delay=True
# 0:05:03.614196  | info     | Clear message sent to EEG.
# 0:05:05.131937  | info     | Value: 22 sent to EEG.
# 0:05:05.131964  | info     | send_trigger() run with params trigger_type=matrix_1, info=None, with_delay=True
# 0:05:05.135302  | info     | Clear message sent to EEG.
# 0:05:07.152807  | info     | Value: 23 sent to EEG.
# 0:05:07.152866  | info     | send_trigger() run with params trigger_type=mask, info=None, with_delay=True
# 0:05:07.156248  | info     | Clear message sent to EEG.
# 0:05:09.180350  | info     | Value: 24 sent to EEG.
# 0:05:09.180406  | info     | send_trigger() run with params trigger_type=matrix_2, info=None, with_delay=True
# 0:05:09.183785  | info     | Clear message sent to EEG.
# 0:05:11.764313  | info     | Value: 25 sent to EEG.
# 0:05:11.764347  | info     | send_trigger() run with params trigger_type=answer, info=None, with_delay=True
# 0:05:11.767515  | info     | Clear message sent to EEG.
# 0:05:13.393176  | info     | Value: 26 sent to EEG.
# 0:05:13.393194  | info     | send_trigger() run with params trigger_type=fix_point, info=None, with_delay=True
# 0:05:13.396498  | info     | Clear message sent to EEG.
# 0:05:14.916596  | info     | Value: 27 sent to EEG.
# 0:05:14.916620  | info     | send_trigger() run with params trigger_type=matrix_1, info=None, with_delay=True
# 0:05:14.919776  | info     | Clear message sent to EEG.
# 0:05:16.937139  | info     | Value: 28 sent to EEG.
# 0:05:16.937187  | info     | send_trigger() run with params trigger_type=mask, info=None, with_delay=True
# 0:05:16.940565  | info     | Clear message sent to EEG.
# 0:05:18.962747  | info     | Value: 29 sent to EEG.
# 0:05:18.962802  | info     | send_trigger() run with params trigger_type=matrix_2, info=None, with_delay=True
# 0:05:18.965986  | info     | Clear message sent to EEG.
# 0:05:20.262930  | info     | Value: 30 sent to EEG.
# 0:05:20.262980  | info     | send_trigger() run with params trigger_type=answer, info=None, with_delay=True
# 0:05:20.266219  | info     | Clear message sent to EEG.
# 0:05:22.305094  | info     | Value: 31 sent to EEG.
# 0:05:22.305121  | info     | send_trigger() run with params trigger_type=fix_point, info=None, with_delay=True
# 0:05:22.308381  | info     | Clear message sent to EEG.
# 0:05:23.826188  | info     | Value: 32 sent to EEG.
# 0:05:23.826212  | info     | send_trigger() run with params trigger_type=matrix_1, info=None, with_delay=True
# 0:05:23.829406  | info     | Clear message sent to EEG.
# 0:05:25.847089  | info     | Value: 33 sent to EEG.
# 0:05:25.847141  | info     | send_trigger() run with params trigger_type=mask, info=None, with_delay=True
# 0:05:25.850321  | info     | Clear message sent to EEG.
# 0:05:27.872586  | info     | Value: 34 sent to EEG.
# 0:05:27.872644  | info     | send_trigger() run with params trigger_type=matrix_2, info=None, with_delay=True
# 0:05:27.875830  | info     | Clear message sent to EEG.
# 0:05:28.832468  | info     | Value: 35 sent to EEG.
# 0:05:28.832513  | info     | send_trigger() run with params trigger_type=answer, info=None, with_delay=True
# 0:05:28.835882  | info     | Clear message sent to EEG.
# 0:05:30.492808  | info     | Value: 36 sent to EEG.
# 0:05:30.492825  | info     | send_trigger() run with params trigger_type=fix_point, info=None, with_delay=True
# 0:05:30.496177  | info     | Clear message sent to EEG.
# 0:05:32.013659  | info     | Value: 37 sent to EEG.
# 0:05:32.013688  | info     | send_trigger() run with params trigger_type=matrix_1, info=None, with_delay=True
# 0:05:32.016984  | info     | Clear message sent to EEG.
# 0:05:34.034532  | info     | Value: 38 sent to EEG.
# 0:05:34.034580  | info     | send_trigger() run with params trigger_type=mask, info=None, with_delay=True
# 0:05:34.037799  | info     | Clear message sent to EEG.
# 0:05:36.060061  | info     | Value: 39 sent to EEG.
# 0:05:36.060117  | info     | send_trigger() run with params trigger_type=matrix_2, info=None, with_delay=True
# 0:05:36.063307  | info     | Clear message sent to EEG.
# 0:05:37.207347  | info     | Value: 40 sent to EEG.
# 0:05:37.207397  | info     | send_trigger() run with params trigger_type=answer, info=None, with_delay=True
# 0:05:37.210592  | info     | Clear message sent to EEG.
# 0:05:38.802761  | info     | Value: 41 sent to EEG.
# 0:05:38.802788  | info     | send_trigger() run with params trigger_type=fix_point, info=None, with_delay=True
# 0:05:38.806013  | info     | Clear message sent to EEG.
# 0:05:40.326104  | info     | Value: 42 sent to EEG.
# 0:05:40.326128  | info     | send_trigger() run with params trigger_type=matrix_1, info=None, with_delay=True
# 0:05:40.329279  | info     | Clear message sent to EEG.
# 0:05:42.347035  | info     | Value: 43 sent to EEG.
# 0:05:42.347092  | info     | send_trigger() run with params trigger_type=mask, info=None, with_delay=True
# 0:05:42.350269  | info     | Clear message sent to EEG.
# 0:05:44.372528  | info     | Value: 44 sent to EEG.
# 0:05:44.372583  | info     | send_trigger() run with params trigger_type=matrix_2, info=None, with_delay=True
# 0:05:44.375903  | info     | Clear message sent to EEG.
# 0:05:45.581340  | info     | Value: 45 sent to EEG.
# 0:05:45.581373  | info     | send_trigger() run with params trigger_type=answer, info=None, with_delay=True
# 0:05:45.584747  | info     | Clear message sent to EEG.
# 0:05:47.575962  | info     | Value: 46 sent to EEG.
# 0:05:47.575980  | info     | send_trigger() run with params trigger_type=fix_point, info=None, with_delay=True
# 0:05:47.579150  | info     | Clear message sent to EEG.
# 0:05:49.096934  | info     | Value: 47 sent to EEG.
# 0:05:49.096961  | info     | send_trigger() run with params trigger_type=matrix_1, info=None, with_delay=True
# 0:05:49.100299  | info     | Clear message sent to EEG.
# 0:05:51.124748  | info     | Value: 48 sent to EEG.
# 0:05:51.124809  | info     | send_trigger() run with params trigger_type=mask, info=None, with_delay=True
# 0:05:51.128132  | info     | Clear message sent to EEG.
# 0:05:53.152466  | info     | Value: 49 sent to EEG.
# 0:05:53.152523  | info     | send_trigger() run with params trigger_type=matrix_2, info=None, with_delay=True
# 0:05:53.155900  | info     | Clear message sent to EEG.
# 0:05:54.708213  | info     | Value: 50 sent to EEG.
# 0:05:54.708240  | info     | send_trigger() run with params trigger_type=answer, info=None, with_delay=True
# 0:05:54.711395  | info     | Clear message sent to EEG.
# 0:05:55.964824  | info     | Value: 51 sent to EEG.
# 0:05:55.964841  | info     | send_trigger() run with params trigger_type=fix_point, info=None, with_delay=True
# 0:05:55.968210  | info     | Clear message sent to EEG.
# 0:05:57.485620  | info     | Value: 52 sent to EEG.
# 0:05:57.485636  | info     | send_trigger() run with params trigger_type=matrix_1, info=None, with_delay=True
# 0:05:57.488979  | info     | Clear message sent to EEG.
# 0:05:59.506391  | info     | Value: 53 sent to EEG.
# 0:05:59.506449  | info     | send_trigger() run with params trigger_type=mask, info=None, with_delay=True
# 0:05:59.509627  | info     | Clear message sent to EEG.
# 0:06:01.531782  | info     | Value: 54 sent to EEG.
# 0:06:01.531838  | info     | send_trigger() run with params trigger_type=matrix_2, info=None, with_delay=True
# 0:06:01.535186  | info     | Clear message sent to EEG.
# 0:06:02.404342  | info     | Value: 55 sent to EEG.
# 0:06:02.404392  | info     | send_trigger() run with params trigger_type=answer, info=None, with_delay=True
# 0:06:02.407573  | info     | Clear message sent to EEG.
# 0:06:04.186829  | info     | Value: 56 sent to EEG.
# 0:06:04.186845  | info     | send_trigger() run with params trigger_type=fix_point, info=None, with_delay=True
# 0:06:04.190060  | info     | Clear message sent to EEG.
# 0:06:05.707681  | info     | Value: 57 sent to EEG.
# 0:06:05.707709  | info     | send_trigger() run with params trigger_type=matrix_1, info=None, with_delay=True
# 0:06:05.711033  | info     | Clear message sent to EEG.
# 0:06:07.728816  | info     | Value: 58 sent to EEG.
# 0:06:07.728876  | info     | send_trigger() run with params trigger_type=mask, info=None, with_delay=True
# 0:06:07.732253  | info     | Clear message sent to EEG.
# 0:06:09.756554  | info     | Value: 59 sent to EEG.
# 0:06:09.756610  | info     | send_trigger() run with params trigger_type=matrix_2, info=None, with_delay=True
# 0:06:09.759798  | info     | Clear message sent to EEG.
# 0:06:12.306588  | info     | Value: 60 sent to EEG.
# 0:06:12.306625  | info     | send_trigger() run with params trigger_type=answer, info=None, with_delay=True
# 0:06:12.309790  | info     | Clear message sent to EEG.
# 0:06:13.381161  | info     | Value: 1 sent to EEG.
# 0:06:13.381188  | info     | send_trigger() run with params trigger_type=fix_point, info=None, with_delay=True
# 0:06:13.384547  | info     | Clear message sent to EEG.
# 0:06:14.902330  | info     | Value: 2 sent to EEG.
# 0:06:14.902358  | info     | send_trigger() run with params trigger_type=matrix_1, info=None, with_delay=True
# 0:06:14.905562  | info     | Clear message sent to EEG.
# 0:06:16.923215  | info     | Value: 3 sent to EEG.
# 0:06:16.923261  | info     | send_trigger() run with params trigger_type=mask, info=None, with_delay=True
# 0:06:16.926435  | info     | Clear message sent to EEG.
# 0:06:18.948728  | info     | Value: 4 sent to EEG.
# 0:06:18.948787  | info     | send_trigger() run with params trigger_type=matrix_2, info=None, with_delay=True
# 0:06:18.952126  | info     | Clear message sent to EEG.
# 0:06:20.498689  | info     | Value: 5 sent to EEG.
# 0:06:20.498739  | info     | send_trigger() run with params trigger_type=answer, info=None, with_delay=True
# 0:06:20.501921  | info     | Clear message sent to EEG.
# 0:06:22.302611  | info     | Value: 6 sent to EEG.
# 0:06:22.302628  | info     | send_trigger() run with params trigger_type=fix_point, info=None, with_delay=True
# 0:06:22.305850  | info     | Clear message sent to EEG.
# 0:06:23.825694  | info     | Value: 7 sent to EEG.
# 0:06:23.825728  | info     | send_trigger() run with params trigger_type=matrix_1, info=None, with_delay=True
# 0:06:23.828790  | info     | Clear message sent to EEG.
# 0:06:25.846757  | info     | Value: 8 sent to EEG.
# 0:06:25.846816  | info     | send_trigger() run with params trigger_type=mask, info=None, with_delay=True
# 0:06:25.850054  | info     | Clear message sent to EEG.
# 0:06:27.872243  | info     | Value: 9 sent to EEG.
# 0:06:27.872299  | info     | send_trigger() run with params trigger_type=matrix_2, info=None, with_delay=True
# 0:06:27.875605  | info     | Clear message sent to EEG.
# 0:06:29.778188  | info     | Value: 10 sent to EEG.
# 0:06:29.778228  | info     | send_trigger() run with params trigger_type=answer, info=None, with_delay=True
# 0:06:29.781447  | info     | Clear message sent to EEG.
# 0:06:31.455340  | info     | Value: 11 sent to EEG.
# 0:06:31.455358  | info     | send_trigger() run with params trigger_type=fix_point, info=None, with_delay=True
# 0:06:31.458534  | info     | Clear message sent to EEG.
# 0:06:32.985633  | info     | Value: 12 sent to EEG.
# 0:06:32.985679  | info     | send_trigger() run with params trigger_type=matrix_1, info=None, with_delay=True
# 0:06:32.989021  | info     | Clear message sent to EEG.
# 0:06:35.006380  | info     | Value: 13 sent to EEG.
# 0:06:35.006437  | info     | send_trigger() run with params trigger_type=mask, info=None, with_delay=True
# 0:06:35.009665  | info     | Clear message sent to EEG.
# 0:06:37.031870  | info     | Value: 14 sent to EEG.
# 0:06:37.031925  | info     | send_trigger() run with params trigger_type=matrix_2, info=None, with_delay=True
# 0:06:37.035110  | info     | Clear message sent to EEG.
# 0:06:39.069643  | info     | Value: 15 sent to EEG.
# 0:06:39.069694  | info     | send_trigger() run with params trigger_type=answer, info=None, with_delay=True
# 0:06:39.073014  | info     | Clear message sent to EEG.
# 0:06:40.767754  | info     | Value: 16 sent to EEG.
# 0:06:40.767771  | info     | send_trigger() run with params trigger_type=fix_point, info=None, with_delay=True
# 0:06:40.770940  | info     | Clear message sent to EEG.
# 0:06:42.291079  | info     | Value: 17 sent to EEG.
# 0:06:42.291122  | info     | send_trigger() run with params trigger_type=matrix_1, info=None, with_delay=True
# 0:06:42.294288  | info     | Clear message sent to EEG.
# 0:06:44.311880  | info     | Value: 18 sent to EEG.
# 0:06:44.311942  | info     | send_trigger() run with params trigger_type=mask, info=None, with_delay=True
# 0:06:44.315123  | info     | Clear message sent to EEG.
# 0:06:46.339476  | info     | Value: 19 sent to EEG.
# 0:06:46.339533  | info     | send_trigger() run with params trigger_type=matrix_2, info=None, with_delay=True
# 0:06:46.342902  | info     | Clear message sent to EEG.
# 0:06:47.095617  | info     | Value: 20 sent to EEG.
# 0:06:47.095662  | info     | send_trigger() run with params trigger_type=answer, info=None, with_delay=True
# 0:06:47.099028  | info     | Clear message sent to EEG.
# 0:06:48.943617  | info     | Value: 21 sent to EEG.
# 0:06:48.943634  | info     | send_trigger() run with params trigger_type=fix_point, info=None, with_delay=True
# 0:06:48.946840  | info     | Clear message sent to EEG.
# 0:06:50.471148  | info     | Value: 22 sent to EEG.
# 0:06:50.471160  | info     | send_trigger() run with params trigger_type=matrix_1, info=None, with_delay=True
# 0:06:50.474268  | info     | Clear message sent to EEG.
# 0:06:52.492379  | info     | Value: 23 sent to EEG.
# 0:06:52.492437  | info     | send_trigger() run with params trigger_type=mask, info=None, with_delay=True
# 0:06:52.495619  | info     | Clear message sent to EEG.
# 0:06:54.520107  | info     | Value: 24 sent to EEG.
# 0:06:54.520176  | info     | send_trigger() run with params trigger_type=matrix_2, info=None, with_delay=True
# 0:06:54.523551  | info     | Clear message sent to EEG.
# 0:06:55.354853  | info     | Value: 25 sent to EEG.
# 0:06:55.354905  | info     | send_trigger() run with params trigger_type=answer, info=None, with_delay=True
# 0:06:55.358088  | info     | Clear message sent to EEG.
# 0:06:56.776982  | info     | Value: 26 sent to EEG.
# 0:06:56.777000  | info     | send_trigger() run with params trigger_type=fix_point, info=None, with_delay=True
# 0:06:56.780339  | info     | Clear message sent to EEG.
# 0:06:58.302606  | info     | Value: 27 sent to EEG.
# 0:06:58.302652  | info     | send_trigger() run with params trigger_type=matrix_1, info=None, with_delay=True
# 0:06:58.305895  | info     | Clear message sent to EEG.
# 0:07:00.325574  | info     | Value: 28 sent to EEG.
# 0:07:00.325620  | info     | send_trigger() run with params trigger_type=mask, info=None, with_delay=True
# 0:07:00.329033  | info     | Clear message sent to EEG.
# 0:07:02.353376  | info     | Value: 29 sent to EEG.
# 0:07:02.353437  | info     | send_trigger() run with params trigger_type=matrix_2, info=None, with_delay=True
# 0:07:02.356811  | info     | Clear message sent to EEG.
# 0:07:03.618873  | info     | Value: 30 sent to EEG.
# 0:07:03.618900  | info     | send_trigger() run with params trigger_type=answer, info=None, with_delay=True
# 0:07:03.622103  | info     | Clear message sent to EEG.
# 0:07:05.554643  | info     | Value: 31 sent to EEG.
# 0:07:05.554660  | info     | send_trigger() run with params trigger_type=fix_point, info=None, with_delay=True
# 0:07:05.557881  | info     | Clear message sent to EEG.
# 0:07:07.075806  | info     | Value: 32 sent to EEG.
# 0:07:07.075857  | info     | send_trigger() run with params trigger_type=matrix_1, info=None, with_delay=True
# 0:07:07.079041  | info     | Clear message sent to EEG.
# 0:07:09.096453  | info     | Value: 33 sent to EEG.
# 0:07:09.096509  | info     | send_trigger() run with params trigger_type=mask, info=None, with_delay=True
# 0:07:09.099877  | info     | Clear message sent to EEG.
# 0:07:11.121795  | info     | Value: 34 sent to EEG.
# 0:07:11.121854  | info     | send_trigger() run with params trigger_type=matrix_2, info=None, with_delay=True
